segment_seconds,segment_id,start_s,end_s,sample_count,common_frequency_hz,independent_frequency_hz,independent_deviation_from_common_hz,amplitude,phase_origin_rad,estimated_snr_db,residual_rmse
25.0,1,0.0,24.99,2500,1.999979654192746,1.9989358112858806,-0.001043842906865322,0.03733053071351413,1.549152568485055,-11.32287064705977,0.09746823682664409
25.0,2,25.0,49.99,2500,1.999979654192746,1.999259501663551,-0.000720152529194884,0.034511150374809244,1.6296623382167155,-12.47998035548549,0.10275555466335133
25.0,3,50.0,74.9899999999999,2500,1.999979654192746,2.0014717902570527,0.0014921360643067594,0.03571057909573771,1.6267551674070213,-12.151548152062999,0.10230633883957922
25.0,4,75.0,99.99,2500,1.999979654192746,2.000541473841172,0.0005618196484262761,0.034695795935445646,1.5745122506913491,-12.1618103459218,0.10026629248128872
25.0,5,100.0,124.99,2500,1.999979654192746,1.9978986629239341,-0.0020809912688117826,0.03651673404960433,1.6369864614826692,-11.772663804983301,0.10020060745721665
25.0,6,125.0,149.99,2500,1.999979654192746,2.0034573269934106,0.0034776728006646884,0.032951904224818515,1.6392687505638326,-12.720284634130742,0.10153461162002918
25.0,7,150.0,174.99,2500,1.999979654192746,1.9983755863151602,-0.0016040678775857131,0.034633963200910486,1.477548918061261,-11.940811991518048,0.0968339399319574
25.0,8,175.0,199.99,2500,1.999979654192746,1.99862808536261,-0.0013515688301359852,0.04114994771487054,1.4825168156454676,-10.570440063699282,0.09858876129054815
25.0,9,200.0,224.99,2500,1.999979654192746,2.0004083742142003,0.00042872002145433186,0.0377606794969048,1.572187070342648,-11.530067305868261,0.10070532177263289
25.0,10,225.0,249.99,2500,1.999979654192746,2.000316293736262,0.00033663954351625947,0.038719222667898685,1.6234890212276794,-11.06664748492571,0.09819164405985802
25.0,11,250.0,274.99,2500,1.999979654192746,1.9992652265159498,-0.0007144276767960811,0.036111026288876975,1.6636106093198542,-11.965436381859366,0.10131814138384194
25.0,12,275.0,299.99,2500,1.999979654192746,2.0003485897689206,0.0003689355761746782,0.03478337144061731,1.6882700363811467,-12.03538904326508,0.09847046588211363
25.0,13,300.0,324.99,2500,1.999979654192746,2.0017292977992787,0.0017496436065327359,0.03116569886536893,1.5364741685558025,-13.131241859254706,0.10032321369284752
25.0,14,325.0,349.99,2500,1.999979654192746,2.000880282686016,0.0009006284932699948,0.03614078185429847,1.676688626094576,-11.744359843936996,0.09908431575348484
25.0,15,350.0,374.99,2500,1.999979654192746,1.9981437834982176,-0.0018358706945282854,0.030259592844699985,1.6996970918430065,-13.391972980977364,0.10112713976759398
25.0,16,375.0,399.99,2500,1.999979654192746,2.001052312943687,0.0010726587509410912,0.031883569765100296,1.5556794211262266,-12.941060171301578,0.10003907302696806
50.0,1,0.0,49.99,5000,2.0000656620289474,2.000135084057777,6.942202882953552e-05,0.035894037984616996,1.5742977436816525,-11.922726514044829,0.10016722423846519
50.0,2,50.0,99.99,5000,2.0000656620289474,1.9999682482588115,-9.741377013594565e-05,0.03518902194837412,1.560626660770532,-12.182440176647296,0.10130871054628746
50.0,3,100.0,149.99,5000,2.0000656620289474,2.0001591082160863,9.34461871389125e-05,0.03473690605692289,1.5705834969298182,-12.245320385532004,0.1008818614171053
50.0,4,150.0,199.99,5000,2.0000656620289474,1.999631904707853,-0.0004337573210944079,0.037880217880751244,1.3850448645169284,-11.235254421744859,0.09775140522110459
50.0,5,200.0,249.99,5000,2.0000656620289474,2.0003249384815946,0.000259276452647228,0.03823454817774434,1.4765199636082507,-11.305346000839984,0.09946220151825558
50.0,6,250.0,299.99,5000,2.0000656620289474,2.000044254698052,-2.1407330895506504e-05,0.03544429810902682,1.52701747241921,-12.011302015667589,0.09991265149732716
50.0,7,300.0,349.99,5000,2.0000656620289474,2.000972254931654,0.00090659290270656,0.03359314170742065,1.4352810087820302,-12.432192994112297,0.09973121575226428
50.0,8,350.0,399.99,5000,2.0000656620289474,1.9992073963468195,-0.0008582656821278789,0.03097274307486361,1.423161780322771,-13.213691806133639,0.10061140774316138
100.0,1,0.0,99.99,10000,1.9999633829832928,2.0000301141613894,6.673117809663509e-05,0.03553973736061259,1.5994284377251193,-12.054631030784167,0.10074129727866112
100.0,2,100.0,199.99,10000,1.9999633829832928,1.9995853001822592,-0.0003780828010335746,0.036208245688985535,1.5712202426178574,-11.778269489420355,0.09936578298303939
100.0,3,200.0,299.99,10000,1.9999633829832928,2.0002162375031958,0.0002528545199029786,0.03680361091522669,1.6609440320142799,-11.665039863937876,0.09970195706684487
100.0,4,300.0,399.99,10000,1.9999633829832928,2.0000545068483406,9.112386504783743e-05,0.032279042552075754,1.6542720869552747,-12.848857197143479,0.10019516445160727
